number,street,unit,nearest_parcel_land_use,distance_m,reason
2504,COURTRIGHT RD,,402,62.2,nearest parcel 62m away (> 60m)
2525,FRANKSWAY ST,,422,94.4,nearest parcel 94m away (> 60m)
6157,GIOFFRE WOODS LN,,,3.6,nearest non-residential ()
5034,COVENTRY DR,D,403,56.6,nearest non-residential (403)
2346,RANDY CT,,403,48.3,nearest non-residential (403)
1931,FOUNTAINVIEW CT,,403,37.1,nearest non-residential (403)
5605,CHANTRY DR,,447,53.5,nearest non-residential (447)
3669,MENDON PL,,520,75.4,nearest parcel 75m away (> 60m)
4670,FENIMORE CT,,403,82.2,nearest parcel 82m away (> 60m)
3925,KIMBERLY PKWY N,,550,75.3,nearest parcel 75m away (> 60m)
5822,CHATFORD DR,F,899,110.5,nearest parcel 110m away (> 60m)
4611,REFUGEE RD,3D,403,87.2,nearest parcel 87m away (> 60m)
4615,REFUGEE RD,2C,403,45.2,nearest non-residential (403)
2830,WYMAN CT,C,403,68.5,nearest parcel 68m away (> 60m)
4609,REFUGEE RD,1K,403,66.2,nearest parcel 66m away (> 60m)
4650,HILTON CORPORATE DR,101,484,93.2,nearest parcel 93m away (> 60m)
6645,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
4653,HILTON CORPORATE DR,,670,36.1,nearest non-residential (670)
4408,CROSSROADS CENTER,,444,48.0,nearest non-residential (444)
3737,NOAM CT,,403,65.4,nearest parcel 65m away (> 60m)
5381,YORKSHIRE TERRACE DR,5A,550,75.1,nearest parcel 75m away (> 60m)
2813,TENNYSON BLVD,210,403,33.6,nearest non-residential (403)
1811,BAIRSFORD DR,1D,403,20.4,nearest non-residential (403)
82,CHANTRY DR,,447,15.6,nearest non-residential (447)
4491,LAKE SIDE S,E,456,123.1,nearest parcel 123m away (> 60m)
5673,HIBERNIA DR,B,510,67.5,nearest parcel 68m away (> 60m)
3747,KIMBERLY WEST DR,,403,62.7,nearest parcel 63m away (> 60m)
5896,CHATFORD DR,E,403,104.4,nearest parcel 104m away (> 60m)
2433,SHORE BLVD E,,403,34.7,nearest non-residential (403)
372,CHANTRY DR,,447,15.6,nearest non-residential (447)
5481,E LIVINGSTON AVE,UNIT A,426,80.8,nearest parcel 81m away (> 60m)
3134,S HAMILTON RD,,425,24.2,nearest non-residential (425)
6447,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
4520,LAKE SIDE S,B,425,142.3,nearest parcel 142m away (> 60m)
2587,S HAMILTON RD,,425,23.8,nearest non-residential (425)
5345,YORKSHIRE TERRACE DR,D,403,29.3,nearest non-residential (403)
3751,BIRCHTREE LN,,403,37.1,nearest non-residential (403)
4671,REFUGEE RD,3E,403,25.1,nearest non-residential (403)
2776,CITIZENS PL,E,403,111.8,nearest parcel 112m away (> 60m)
1873,BAIRSFORD DR,,520,70.5,nearest parcel 71m away (> 60m)
1286,MCKAHAN AVE,,,16.6,nearest non-residential ()
652,CHANTRY DR,,447,15.6,nearest non-residential (447)
5576,MILLERSFIELD DR,,403,51.3,nearest non-residential (403)
10,CHANTRY DR,,447,15.6,nearest non-residential (447)
4575,LAKE SIDE S,C,122,101.7,nearest parcel 102m away (> 60m)
5435,LONSDALE PL N,UNIT C,439,58.7,nearest non-residential (439)
192,CHANTRY DR,,447,15.6,nearest non-residential (447)
168,CHANTRY DR,,447,15.6,nearest non-residential (447)
5746,SARANAC DR,,511,62.2,nearest parcel 62m away (> 60m)
4300,KIMBERLY PKWY,,449,17.5,nearest non-residential (449)
2780,CITIZENS PL,A,403,99.5,nearest parcel 100m away (> 60m)
5415,YORKSHIRE TERRACE DR,5C,403,18.1,nearest non-residential (403)
5708,GREENPINE ST,,400,85.2,nearest parcel 85m away (> 60m)
4667,REFUGEE RD,2B,403,39.6,nearest non-residential (403)
5415,YORKSHIRE TERRACE DR,6B,403,22.2,nearest non-residential (403)
2497,SHORE BLVD E,,122,147.0,nearest parcel 147m away (> 60m)
5637,HIBERNIA DR,A,510,96.3,nearest parcel 96m away (> 60m)
5730,HIBERNIA DR,,403,82.9,nearest parcel 83m away (> 60m)
3325,SUFFIELD,,510,102.1,nearest parcel 102m away (> 60m)
