number,street,unit,city,region,postcode,district,latitude,longitude
6663,HUNTLEY RD,UNIT R,Worthington,OH,43229,FRA,40.102947,-83.0005507
7029,HUNTLEY RD,APT J,Worthington,OH,43229,FRA,40.1061301,-83.0000623
6155,HUNTLEY RD,UNIT F,Worthington,OH,43229,FRA,40.0904687,-82.9989098
460,SCHROCK RD,UNIT F,Worthington,OH,43229,FRA,40.1017504,-83.0013905
6911,CLEVELAND AVE,,Sharon Twp,OH,43229,FRA,40.1116345,-82.9544896
6769,HILDRETH AVE,,Sharon Twp,OH,43229,FRA,40.0994405,-82.9566527
6663,HUNTLEY RD,UNIT D,Worthington,OH,43229,FRA,40.1028324,-82.9995899
6171,HUNTLEY RD,UNIT H,Worthington,OH,43229,FRA,40.0905763,-83.0015183
7020,HUNTLEY RD,UNIT D,Worthington,OH,43229,FRA,40.1060542,-82.9966018
480,SCHROCK RD,,Worthington,OH,43229,FRA,40.1024234,-83.0013775
470,SCHROCK RD,,Worthington,OH,43229,FRA,40.1032363,-83.0023771
6116,HUNTLEY RD,,Worthington,OH,43229,FRA,40.08917,-82.9973873
6740,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1038364,-82.998136
5590 REAR,KARL RD,,Sharon Twp,OH,43229,FRA,40.0813075,-82.9743026
6108,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0891695,-82.9972568
485,SCHROCK RD,,Worthington,OH,43229,FRA,40.1009324,-83.0015152
501,SCHROCK RD,,Worthington,OH,43229,FRA,40.1009362,-83.0012094
6663,HUNTLEY RD,UNIT B,Worthington,OH,43229,FRA,40.102919,-82.9990806
7030,HUNTLEY RD,UNIT A,Worthington,OH,43229,FRA,40.1063864,-82.9975564
6155,HUNTLEY RD,UNIT K,Worthington,OH,43229,FRA,40.0909937,-82.9988842
6185,HUNTLEY RD,UNIT A,Worthington,OH,43229,FRA,40.0916634,-83.001507
6999,HUNTLEY RD,APT E,Worthington,OH,43229,FRA,40.1057704,-82.999292
6155,HUNTLEY RD,UNIT A,Worthington,OH,43229,FRA,40.0904477,-82.9999332
6663,HUNTLEY RD,UNIT E,Worthington,OH,43229,FRA,40.1028186,-82.9996627
6589,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1005469,-82.9980033
6663,HUNTLEY RD,UNIT M,Worthington,OH,43229,FRA,40.1025949,-83.0005239
460,SCHROCK RD,UNIT C,Worthington,OH,43229,FRA,40.1017229,-83.0020547
460,SCHROCK RD,UNIT B,Worthington,OH,43229,FRA,40.1016143,-83.002095
7020,HUNTLEY RD,UNIT C,Worthington,OH,43229,FRA,40.1060795,-82.9970224
6663,HUNTLEY RD,UNIT O,Worthington,OH,43229,FRA,40.1027366,-83.000523
7099,HUNTLEY RD,UNIT 105,Worthington,OH,43229,FRA,40.1077729,-82.9988909
6185,HUNTLEY RD,UNIT O,Worthington,OH,43229,FRA,40.0913698,-82.998852
6185,HUNTLEY RD,UNIT N,Worthington,OH,43229,FRA,40.0913586,-82.9990151
