number,street,unit,city,region,postcode,latitude,longitude
6858,ROUNDELAY RD N,,REYNOLDSBURG,OH,43068,39.964785,-82.8161524
1175,HILLRIDGE RD,,REYNOLDSBURG,OH,43068,39.9595254,-82.8005531
7487,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9551977,-82.798008
904,HILTON DR,,REYNOLDSBURG,OH,43068,39.9679189,-82.7806128
6818,N BURGUNDY PL,,REYNOLDSBURG,OH,43068,39.9576027,-82.816047
8146,REYNOLDSWOOD DR,,REYNOLDSBURG,OH,43068,39.9740622,-82.7819841
1416,JACKSON AVE,,REYNOLDSBURG,OH,43068,39.9550146,-82.8000226
155,CAMBRIDGE CT,,REYNOLDSBURG,OH,43068,39.9583485,-82.7903515
6591,RED FOX RD,,REYNOLDSBURG,OH,43068,39.9637137,-82.8230213
6614,ROSETREE DR,,REYNOLDSBURG,OH,43068,39.9742502,-82.8242928
189,FRENCH RUN LN,,REYNOLDSBURG,OH,43068,39.9596488,-82.7897683
8016,GOLDSMITH DR,,REYNOLDSBURG,OH,43068,39.9578609,-82.784274
6562,MERRINGER AVE,,REYNOLDSBURG,OH,43068,39.9717778,-82.8252294
6557,ROSEDALE AVE,,REYNOLDSBURG,OH,43068,39.9687227,-82.8249047
6959,ARDELLE DR,,REYNOLDSBURG,OH,43068,39.9585909,-82.8123501
6777,TANYA TER,,REYNOLDSBURG,OH,43068,39.9622465,-82.8179634
6605,ROCKY DEN RD,,REYNOLDSBURG,OH,43068,39.9655063,-82.8229507
6686,ROSEDALE AVE,,REYNOLDSBURG,OH,43068,39.9690044,-82.8213632
6575,FUSILIER AVE,,REYNOLDSBURG,OH,43068,39.9705189,-82.8247133
662,MIRANDY PL,,REYNOLDSBURG,OH,43068,39.9679932,-82.825321
6810,PRIOR PL,,REYNOLDSBURG,OH,43068,39.9642343,-82.817271
6432,TIMBERMILL WAY,,REYNOLDSBURG,OH,43068,39.9761909,-82.8295756
7772,BROADWYN DR,,REYNOLDSBURG,OH,43068,39.954397,-82.7901656
6985,PRIOR PL,,REYNOLDSBURG,OH,43068,39.9626817,-82.8124835
1154,ADDISON DR,,REYNOLDSBURG,OH,43068,39.9622537,-82.7845988
6470,SILVERLEAF AVE,,REYNOLDSBURG,OH,43068,39.9744517,-82.828207
7788,BROADWYN DR,,REYNOLDSBURG,OH,43068,39.9544111,-82.7896756
6913,NOCTURNE RD N,,REYNOLDSBURG,OH,43068,39.963779,-82.8145897
370,CHEYENNE WAY,,REYNOLDSBURG,OH,43068,39.9759089,-82.8117772
6387,HILLTOP AVE,,REYNOLDSBURG,OH,43068,39.971305,-82.8299065
7971,WINDRIFT PL,,REYNOLDSBURG,OH,43068,39.9657574,-82.7869174
416,PATHFINDER DR,,REYNOLDSBURG,OH,43068,39.9742018,-82.8144804
918,PLEASANT DR,,REYNOLDSBURG,OH,43068,39.9648007,-82.8006272
7062,WHITE BUTTERFLY LN,,REYNOLDSBURG,OH,43068,39.9650219,-82.8105885
1008,PEGGYS CV,,REYNOLDSBURG,OH,43068,39.9631837,-82.807382
6554,FALLS CIR,,REYNOLDSBURG,OH,43068,39.9673671,-82.8247641
504,HAWTHORNE PL,,REYNOLDSBURG,OH,43068,39.9713333,-82.8253348
1027,ROUNDELAY RD E,,REYNOLDSBURG,OH,43068,39.9618589,-82.8093057
6390,FIRETHORN AVE,,REYNOLDSBURG,OH,43068,39.9753812,-82.8305133
173,NEEDLEWOOD LN,,REYNOLDSBURG,OH,43068,39.9775871,-82.8312927
7510,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9557757,-82.7977109
7512,E MAIN ST,,REYNOLDSBURG,OH,43068,39.955802,-82.7976361
8108,REYNOLDSWOOD DR,,REYNOLDSBURG,OH,43068,39.9741468,-82.7853647
8285,REYNOLDSWOOD DR,,REYNOLDSBURG,OH,43068,39.9756305,-82.7808219
7311,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9551017,-82.8026841
8193,REYNOLDSWOOD DR,,REYNOLDSBURG,OH,43068,39.9751255,-82.7814237
1250,E BEELER DR,,REYNOLDSBURG,OH,43068,39.9540802,-82.8253481
7610,BROADWYN DR,,REYNOLDSBURG,OH,43068,39.9539296,-82.7943147
6785,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9546756,-82.8160703
276,ROBIN LN,,REYNOLDSBURG,OH,43068,39.9571552,-82.7916071
6907,CARROUSEL DR S,,REYNOLDSBURG,OH,43068,39.9576662,-82.8136265
7140,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9555688,-82.8069381
6716,TERRY DR,,REYNOLDSBURG,OH,43068,39.9545152,-82.8180997
288,CASTLE CT,,REYNOLDSBURG,OH,43068,39.956727,-82.791121
6902,ARDELLE DR,,REYNOLDSBURG,OH,43068,39.9587936,-82.8139326
6820,ARDELLE DR,,REYNOLDSBURG,OH,43068,39.9589142,-82.8161761
6576,FIRETHORN AVE,,REYNOLDSBURG,OH,43068,39.9751792,-82.8255058
7377,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9551328,-82.800708
6724,RAVENNA CT,,REYNOLDSBURG,OH,43068,39.9667716,-82.820027
6410,FIRETHORN AVE,,REYNOLDSBURG,OH,43068,39.9753645,-82.8300369
1064,ROUNDELAY RD E,,REYNOLDSBURG,OH,43068,39.961198,-82.8082624
6525,HELM AVE,,REYNOLDSBURG,OH,43068,39.9666403,-82.8253601
7007,ROUNDELAY RD S,,REYNOLDSBURG,OH,43068,39.956974,-82.8107572
6855,TANYA TER,,REYNOLDSBURG,OH,43068,39.9622011,-82.8155132
1194,CARROUSEL DR E,,REYNOLDSBURG,OH,43068,39.9583345,-82.8100083
418,KNOB AVE,,REYNOLDSBURG,OH,43068,39.9722508,-82.828392
8078,REYNOLDSWOOD DR,,REYNOLDSBURG,OH,43068,39.9744558,-82.7857754
1230,ADDISON DR,,REYNOLDSBURG,OH,43068,39.9606671,-82.7847221
7066,SHAWNEE WAY,,REYNOLDSBURG,OH,43068,39.9747746,-82.8129567
1371,HENTZ DR,,REYNOLDSBURG,OH,43068,39.9544624,-82.8156529
6407,TIMBERMILL WAY,,REYNOLDSBURG,OH,43068,39.9758626,-82.83014
231,NEEDLEWOOD LN,,REYNOLDSBURG,OH,43068,39.9764351,-82.8314014
7392,E MAIN ST,,REYNOLDSBURG,OH,43068,39.955431,-82.8005809
7668,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9556224,-82.7931871
7129,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9548686,-82.8069279
6955,PRIOR PL,,REYNOLDSBURG,OH,43068,39.962907,-82.8132497
7380,BRYDEN RD,,REYNOLDSBURG,OH,43068,39.9584273,-82.8016993
7014,TRILLIUM LN,,REYNOLDSBURG,OH,43068,39.9736543,-82.8139614
